Timestamp,Record Type,Instrument,Ob Position,Quantity Diff,Ob Command,Change Reason,Order Number,Premium (256ths),Quantity,Bid/Ask,Total Volume,Display Quantity,Sequence,Source,Instrument Name,Deal Source,Aggressive,Workup State,Workup Reason,Aggressive Order Number,Aggressive Bid/Ask,Passive Order Number,Passive Bid/Ask
07:44:11:460290 20180108,OB_CHANGE,2_YEAR,129.0,-5.0,DELETE,10.0,605794000006E285,25556,0.0,B,0.0,,17912,OC,,,,,,,,,
07:44:11:461051 20180108,OB_CHANGE,2_YEAR,129.0,-8.0,DELETE,10.0,605794000006E287,25556,0.0,B,0.0,,17913,OC,,,,,,,,,
07:44:11:465445 20180108,OB_CHANGE,2_YEAR,130.0,5.0,ADD,6.0,605794000006E307,25556,5.0,B,0.0,,17914,OC,,,,,,,,,
07:44:11:466452 20180108,OB_CHANGE,2_YEAR,131.0,8.0,ADD,6.0,605794000006E309,25556,8.0,B,0.0,,17915,OC,,,,,,,,,
07:44:11:466772 20180108,OB_CHANGE,2_YEAR,70.0,-1.0,DELETE,1.0,605794000006E2DB,25558,0.0,B,0.0,,17916,OC,,,,,,,,,
07:44:11:472164 20180108,OB_CHANGE,2_YEAR,75.0,3.0,ADD,6.0,605794000006E30E,25562,3.0,A,0.0,,17917,OC,,,,,,,,,
07:44:11:490820 20180108,OB_CHANGE,2_YEAR,76.0,11.0,ADD,6.0,605794000006E312,25562,11.0,A,0.0,,17918,OC,,,,,,,,,
07:44:11:506033 20180108,OB_CHANGE,2_YEAR,76.0,-11.0,DELETE,10.0,605794000006E312,25562,0.0,A,0.0,,17919,OC,,,,,,,,,
07:44:11:622963 20180108,OB_CHANGE,2_YEAR,135.0,6.0,ADD,6.0,605794000006E315,25564,6.0,A,0.0,,17920,OC,,,,,,,,,
07:44:13:526238 20180108,OB_CHANGE,2_YEAR,3.0,-1.0,DELETE,1.0,605794000006E2FF,25560,0.0,A,0.0,,17921,OC,,,,,,,,,
07:44:13:526299 20180108,OB_CHANGE,2_YEAR,186.0,-8.0,DELETE,1.0,605794000004B011,25554,0.0,B,0.0,,17922,OC,,,,,,,,,
07:44:13:526299 20180108,OB_CHANGE,2_YEAR,71.0,8.0,ADD,6.0,605794000004B011,25558,8.0,B,0.0,,17923,OC,,,,,,,,,
07:44:13:526411 20180108,OB_CHANGE,2_YEAR,227.0,-1.0,DELETE,1.0,605794000006E2D5,25568,0.0,A,0.0,,17924,OC,,,,,,,,,
07:44:13:526470 20180108,OB_CHANGE,2_YEAR,3.0,-2.0,DELETE,1.0,605794000006E301,25560,0.0,A,0.0,,17925,OC,,,,,,,,,
07:44:13:527018 20180108,OB_CHANGE,2_YEAR,2.0,-2.0,DELETE,1.0,605794000006E2F9,25560,0.0,A,0.0,,17926,OC,,,,,,,,,
07:44:13:527028 20180108,OB_CHANGE,2_YEAR,1.0,-2.0,DELETE,1.0,605794000006E2EB,25560,0.0,A,0.0,,17927,OC,,,,,,,,,
07:44:13:527071 20180108,OB_CHANGE,2_YEAR,70.0,-2.0,DELETE,1.0,605794000006E300,25562,0.0,A,0.0,,17928,OC,,,,,,,,,
07:44:13:527080 20180108,OB_CHANGE,2_YEAR,1.0,9.0,ADD,6.0,605794000006E391,25560,9.0,B,0.0,,17929,OC,,,,,,,,,
