Sequence,Action,Qty,Price,Liquidity,Direction
307,+1,1,99.8203125,12145.6875,Up
308,-1,1,99.84375,12045.84375,Down
309,+1,1,99.8125,12145.65625,Up
310,-1,1,99.8515625,12045.8046875,Down
311,+1,1,99.8046875,12145.609375,Up
312,-1,1,99.859375,12045.75,Down
313,+1,1,99.796875,12145.546875,Up
314,-1,1,99.8671875,12045.6796875,Down
315,-1,1,99.875,11945.8046875,Down
316,+1,1,99.7890625,12045.59375,Up
317,+1,1,99.78125,12145.375,Up
318,-1,1,99.8828125,12045.4921875,Down
319,-1,1,99.890625,11945.6015625,Down
320,+1,1,99.7734375,12045.375,Up
321,-1,1,99.8984375,11945.4765625,Down
322,+1,1,99.765625,12045.2421875,Up
323,+1,1,99.7578125,12145.0,Up
324,-1,1,99.90625,12045.09375,Down
325,+1,1,99.75,12144.84375,Up
326,-1,1,99.9140625,12044.9296875,Down
327,+1,1,99.7421875,12144.671875,Up
328,-1,1,99.921875,12044.75,Down
329,+1,1,99.734375,12144.484375,Up
330,-1,1,99.9296875,12044.5546875,Down
331,+1,1,99.7265625,12144.28125,Up
332,-1,1,99.9375,12044.34375,Down
333,+3,3,99.8125,12343.78125,Up
334,+3,3,99.8125,12643.21875,Up
335,-1,1,99.8359375,12543.3828125,Down
336,+1,1,99.828125,12643.2109375,Up
337,-12,12,99.84375,11445.0859375,Down
338,-20,20,99.84375,9448.2109375,Down
339,-18,18,99.84375,7651.0234375,Down
340,+1,1,99.828125,7750.8515625,Up
341,+1,1,99.828125,7850.6796875,Up
342,+1,1,99.828125,7950.5078125,Up
343,+4,4,99.71875,8349.3828125,Up
344,-10,10,99.8515625,7350.8671875,Down
345,+76,76,99.8203125,14937.2109375,Up
346,+56,56,99.8125,20526.7109375,Up
347,-72,72,99.84375,13337.9609375,Down
348,+2,2,99.8203125,13537.6015625,Up
349,-2,2,99.84375,13337.9140625,Down
350,-2,2,99.8515625,13138.2109375,Down
351,+2,2,99.8125,13337.8359375,Up
352,+2,2,99.8046875,13537.4453125,Up
353,-2,2,99.859375,13337.7265625,Down
354,+2,2,99.796875,13537.3203125,Up
355,-2,2,99.8671875,13337.5859375,Down
356,-2,2,99.875,13137.8359375,Down
357,+2,2,99.7890625,13337.4140625,Up
358,+2,2,99.78125,13536.9765625,Up
359,-2,2,99.8828125,13337.2109375,Down
360,+2,2,99.7734375,13536.7578125,Up
361,-2,2,99.890625,13336.9765625,Down
362,+2,2,99.765625,13536.5078125,Up
363,-2,2,99.8984375,13336.7109375,Down
364,+2,2,99.7578125,13536.2265625,Up
365,-2,2,99.90625,13336.4140625,Down
366,+2,2,99.75,13535.9140625,Up
367,-2,2,99.9140625,13336.0859375,Down
368,+2,2,99.7421875,13535.5703125,Up
369,-2,2,99.921875,13335.7265625,Down
370,+2,2,99.734375,13535.1953125,Up
371,-2,2,99.9296875,13335.3359375,Down
372,+2,2,99.7265625,13534.7890625,Up
373,-2,2,99.9375,13334.9140625,Down
374,+2,2,99.71875,13534.3515625,Up
375,-1,1,99.8359375,13434.515625,Down
376,+4,4,99.828125,13833.828125,Up
377,-1,1,99.8359375,13733.9921875,Down
378,+4,4,99.828125,14133.3046875,Up
379,-20,20,99.8359375,12136.5859375,Down
380,-20,20,99.8359375,10139.8671875,Down
381,+2,2,99.8203125,10339.5078125,Up
382,-2,2,99.84375,10139.8203125,Down
383,+2,2,99.8046875,10339.4296875,Up
384,+2,2,99.8125,10539.0546875,Up
385,-2,2,99.8515625,10339.3515625,Down
386,-2,2,99.859375,10139.6328125,Down
387,+7,7,99.828125,10838.4296875,Up
388,+4,4,99.828125,11237.7421875,Up
389,+7,7,99.828125,11936.5390625,Up
390,+3,3,99.828125,12236.0234375,Up
391,-2,2,99.84375,12036.3359375,Down
392,+2,2,99.8203125,12235.9765625,Up
393,-2,2,99.8515625,12036.2734375,Down
394,+2,2,99.8125,12235.8984375,Up
395,+2,2,99.8046875,12435.5078125,Up
396,-2,2,99.859375,12235.7890625,Down
397,+2,2,99.796875,12435.3828125,Up
398,-2,2,99.8671875,12235.6484375,Down
399,-2,2,99.875,12035.8984375,Down
400,+2,2,99.7890625,12235.4765625,Up
401,-2,2,99.8828125,12035.7109375,Down
402,+2,2,99.78125,12235.2734375,Up
403,+2,2,99.7734375,12434.8203125,Up
404,-2,2,99.890625,12235.0390625,Down
405,+2,2,99.765625,12434.5703125,Up
406,-2,2,99.8984375,12234.7734375,Down
407,+2,2,99.7578125,12434.2890625,Up
408,-2,2,99.90625,12234.4765625,Down
409,+2,2,99.75,12433.9765625,Up
410,-2,2,99.9140625,12234.1484375,Down
411,+2,2,99.7421875,12433.6328125,Up
412,-2,2,99.921875,12233.7890625,Down
413,-2,2,99.9296875,12033.9296875,Down
414,+2,2,99.734375,12233.3984375,Up
415,+2,2,99.7265625,12432.8515625,Up
416,-2,2,99.9375,12232.9765625,Down
417,+2,2,99.828125,12432.6328125,Up
418,+2,2,99.828125,12632.2890625,Up
419,-2,2,99.8359375,12432.6171875,Down
420,+2,2,99.828125,12632.2734375,Up
421,+2,2,99.828125,12831.9296875,Up
422,+4,4,99.828125,13231.2421875,Up
423,+3,3,99.8125,13530.6796875,Up
424,+3,3,99.8203125,13830.140625,Up
425,-27,27,99.84375,11134.359375,Down
426,-20,20,99.84375,9137.484375,Down
427,+17,17,99.8203125,10834.4296875,Up
428,+2,2,99.8203125,11034.0703125,Up
429,-2,2,99.84375,10834.3828125,Down
430,+2,2,99.8125,11034.0078125,Up
431,-2,2,99.8515625,10834.3046875,Down
432,-2,2,99.859375,10634.5859375,Down
433,+2,2,99.8046875,10834.1953125,Up
434,+2,2,99.796875,11033.7890625,Up
435,-2,2,99.8671875,10834.0546875,Down
436,-2,2,99.875,10634.3046875,Down
437,+2,2,99.7890625,10833.8828125,Up
438,-2,2,99.8828125,10634.1171875,Down
439,+2,2,99.78125,10833.6796875,Up
440,+2,2,99.7734375,11033.2265625,Up
441,-2,2,99.890625,10833.4453125,Down
442,+2,2,99.765625,11032.9765625,Up
443,-2,2,99.8984375,10833.1796875,Down
444,+2,2,99.7578125,11032.6953125,Up
445,-2,2,99.90625,10832.8828125,Down
446,-2,2,99.9140625,10633.0546875,Down
447,+2,2,99.75,10832.5546875,Up
448,-2,2,99.921875,10632.7109375,Down
449,+2,2,99.7421875,10832.1953125,Up
450,-2,2,99.9296875,10632.3359375,Down
451,+2,2,99.734375,10831.8046875,Up
452,-2,2,99.9375,10631.9296875,Down
453,+2,2,99.7265625,10831.3828125,Up
454,+4,4,99.71875,11230.2578125,Up
455,+3,3,99.828125,11529.7421875,Up
456,-10,10,99.84375,10531.3046875,Down
457,+10,10,99.796875,11529.2734375,Up
458,-10,10,99.859375,10530.6796875,Down
459,-10,10,99.8359375,9532.3203125,Down
460,+10,10,99.8203125,10530.5234375,Up
461,+10,10,99.8125,11528.6484375,Up
462,+10,10,99.8046875,12526.6953125,Up
463,-10,10,99.8515625,11528.1796875,Down
464,+10,10,99.7890625,12526.0703125,Up
465,-10,10,99.8671875,11527.3984375,Down
466,+10,10,99.78125,12525.2109375,Up
467,-10,10,99.875,11526.4609375,Down
468,+10,10,99.8046875,12524.5078125,Up
469,+10,10,99.8125,13522.6328125,Up
470,+10,10,99.7890625,14520.5234375,Up
471,+10,10,99.796875,15518.4921875,Up
472,-10,10,99.8515625,14519.9765625,Down
473,-10,10,99.8359375,13521.6171875,Down
474,-10,10,99.8671875,12522.9453125,Down
475,-10,10,99.84375,11524.5078125,Down
476,+10,10,99.8203125,12522.7109375,Up
477,-10,10,99.875,11523.9609375,Down
478,-10,10,99.859375,10525.3671875,Down
479,+10,10,99.78125,11523.1796875,Up
480,-2,2,99.8359375,11323.5078125,Down
481,-14,14,99.90625,9924.8203125,Down
482,-14,14,99.84375,8527.0078125,Down
484,-8,8,99.828125,7728.3828125,Down
488,+1,1,99.828125,7828.2109375,Up
489,+2,2,99.828125,8027.8671875,Up
490,+6,6,99.828125,8626.8359375,Up
491,+14,14,99.828125,10024.4296875,Up
493,+8,8,99.828125,10823.0546875,Up
494,+8,8,99.828125,11621.6796875,Up
495,-20,20,99.84375,9624.8046875,Down
496,+20,20,99.8203125,11621.2109375,Up
497,+8,8,99.828125,12419.8359375,Up
498,+8,8,99.828125,13218.4609375,Up
499,+8,8,99.828125,14017.0859375,Up
501,+2,2,99.828125,14216.7421875,Up
502,-8,8,99.828125,13418.1171875,Down
507,+8,8,99.828125,14216.7421875,Up
508,+2,2,99.828125,14416.3984375,Up
509,+6,6,99.828125,15015.3671875,Up
510,+6,6,99.765625,15613.9609375,Up
511,+8,8,99.765625,16412.0859375,Up
514,-1,1,99.828125,16312.2578125,Down
518,+2,2,99.828125,16511.9140625,Up
520,+2,2,99.828125,16711.5703125,Up
521,+3,3,99.8125,17011.0078125,Up
522,+2,2,99.8046875,17210.6171875,Up
523,+3,3,99.8203125,17510.078125,Up
524,+2,2,99.8203125,17709.71875,Up
525,+2,2,99.8046875,17909.328125,Up
526,+1,1,99.8203125,18009.1484375,Up
527,+1,1,99.8203125,18108.96875,Up
528,+3,3,99.8046875,18408.3828125,Up
529,+2,2,99.8203125,18608.0234375,Up
530,+2,2,99.8125,18807.6484375,Up
531,+1,1,99.8125,18907.4609375,Up
532,-1,1,99.8359375,18807.625,Down
533,+2,2,99.8203125,19007.265625,Up
534,-2,2,99.8359375,18807.59375,Down
535,+2,2,99.8125,19007.21875,Up
536,-2,2,99.84375,18807.53125,Down
537,+2,2,99.8046875,19007.140625,Up
538,-2,2,99.8515625,18807.4375,Down
539,+2,2,99.796875,19007.03125,Up
540,-2,2,99.859375,18807.3125,Down
541,+2,2,99.7890625,19006.890625,Up
542,-2,2,99.8671875,18807.15625,Down
543,-4,4,99.84375,18407.78125,Down
544,+4,4,99.8203125,18807.0625,Up
545,-4,4,99.8515625,18407.65625,Down
546,+4,4,99.8125,18806.90625,Up
547,-4,4,99.859375,18407.46875,Down
548,+4,4,99.8046875,18806.6875,Up
549,+4,4,99.796875,19205.875,Up
550,-4,4,99.8671875,18806.40625,Down
551,-4,4,99.875,18406.90625,Down
552,+4,4,99.7890625,18806.0625,Up
553,+4,4,99.78125,19205.1875,Up
554,-4,4,99.8828125,18805.65625,Down
555,+4,4,99.7734375,19204.75,Up
556,-4,4,99.890625,18805.1875,Down
557,-4,4,99.8984375,18405.59375,Down
558,+4,4,99.765625,18804.65625,Up
559,-4,4,99.90625,18405.03125,Down
560,+4,4,99.7578125,18804.0625,Up
561,-4,4,99.9140625,18404.40625,Down
562,+4,4,99.75,18803.40625,Up
563,+4,4,99.7421875,19202.375,Up
564,-4,4,99.921875,18802.6875,Down
565,-4,4,99.9296875,18402.96875,Down
566,+4,4,99.734375,18801.90625,Up
567,+4,4,99.7265625,19200.8125,Up
568,-4,4,99.9375,18801.0625,Down
569,+4,4,99.71875,19199.9375,Up
570,+2,2,99.828125,19399.59375,Up
571,-1,1,99.8359375,19299.7578125,Down
572,+2,2,99.8125,19499.3828125,Up
573,+1,1,99.8203125,19599.203125,Up
574,+1,1,99.8125,19699.015625,Up
575,+1,1,99.8203125,19798.8359375,Up
576,+3,3,99.8046875,20098.25,Up
577,+1,1,99.8203125,20198.0703125,Up
578,+3,3,99.8125,20497.5078125,Up
579,+2,2,99.7890625,20697.0859375,Up
580,-3,3,99.8515625,20397.53125,Down
581,-3,3,99.8515625,20097.9765625,Down
582,-2,2,99.8515625,19898.2734375,Down
583,-2,2,99.8515625,19698.5703125,Down
584,-2,2,99.8515625,19498.8671875,Down
585,-1,1,99.8515625,19399.015625,Down
586,-1,1,99.8515625,19299.1640625,Down
587,-2,2,99.8515625,19099.4609375,Down
588,-1,1,99.8515625,18999.609375,Down
589,-1,1,99.8515625,18899.7578125,Down
590,+2,2,99.828125,19099.4140625,Up
591,+3,3,99.8125,19398.8515625,Up
592,+2,2,99.8046875,19598.4609375,Up
593,+1,1,99.8203125,19698.28125,Up
594,+2,2,99.7890625,19897.859375,Up
595,+1,1,99.8203125,19997.6796875,Up
596,+3,3,99.828125,20297.1640625,Up
597,+2,2,99.8046875,20496.7734375,Up
598,+2,2,99.8125,20696.3984375,Up
