minute,event_count
2018-01-08 06:10:00,17
2018-01-08 06:11:00,106
2018-01-08 06:12:00,90
2018-01-08 06:13:00,27
2018-01-08 06:14:00,17
2018-01-08 06:15:00,12
2018-01-08 06:16:00,10
2018-01-08 06:17:00,7
2018-01-08 06:18:00,2
2018-01-08 06:19:00,24
2018-01-08 06:20:00,6
2018-01-08 06:21:00,13
2018-01-08 06:22:00,425
2018-01-08 06:23:00,12
2018-01-08 06:24:00,1
2018-01-08 06:25:00,10
2018-01-08 06:26:00,29
2018-01-08 06:27:00,283
2018-01-08 06:28:00,191
2018-01-08 06:29:00,25
2018-01-08 06:30:00,3
2018-01-08 06:31:00,13
2018-01-08 06:32:00,24
2018-01-08 06:34:00,32
2018-01-08 06:35:00,23
2018-01-08 06:36:00,69
2018-01-08 06:37:00,15
2018-01-08 06:38:00,75
2018-01-08 06:39:00,240
2018-01-08 06:40:00,5
2018-01-08 06:41:00,30
2018-01-08 06:42:00,5
2018-01-08 06:43:00,37
2018-01-08 06:44:00,4
2018-01-08 06:45:00,16
2018-01-08 06:46:00,18
2018-01-08 06:47:00,40
2018-01-08 06:48:00,8
2018-01-08 06:49:00,16
2018-01-08 06:50:00,5
2018-01-08 06:51:00,2
2018-01-08 06:52:00,3
2018-01-08 06:53:00,6
2018-01-08 06:54:00,75
2018-01-08 06:55:00,300
2018-01-08 06:56:00,25
2018-01-08 06:57:00,24
2018-01-08 06:58:00,9
2018-01-08 06:59:00,63
2018-01-08 07:00:00,1053
2018-01-08 07:01:00,167
2018-01-08 07:02:00,59
2018-01-08 07:03:00,24
2018-01-08 07:04:00,58
2018-01-08 07:05:00,127
2018-01-08 07:06:00,93
2018-01-08 07:07:00,11
2018-01-08 07:08:00,164
2018-01-08 07:09:00,3
2018-01-08 07:10:00,7
2018-01-08 07:11:00,26
2018-01-08 07:12:00,183
2018-01-08 07:13:00,101
2018-01-08 07:14:00,22
2018-01-08 07:15:00,101
2018-01-08 07:16:00,14
2018-01-08 07:17:00,167
2018-01-08 07:18:00,207
2018-01-08 07:19:00,308
2018-01-08 07:20:00,78
2018-01-08 07:21:00,124
2018-01-08 07:22:00,198
2018-01-08 07:23:00,88
2018-01-08 07:24:00,101
2018-01-08 07:25:00,35
2018-01-08 07:26:00,80
2018-01-08 07:27:00,67
2018-01-08 07:28:00,30
2018-01-08 07:29:00,141
2018-01-08 07:30:00,59
2018-01-08 07:31:00,59
2018-01-08 07:32:00,47
2018-01-08 07:33:00,37
2018-01-08 07:34:00,173
2018-01-08 07:35:00,177
2018-01-08 07:36:00,14
2018-01-08 07:37:00,149
2018-01-08 07:38:00,55
2018-01-08 07:39:00,36
2018-01-08 07:40:00,15
2018-01-08 07:41:00,8
2018-01-08 07:42:00,31
2018-01-08 07:43:00,203
2018-01-08 07:44:00,487
2018-01-08 07:45:00,7
2018-01-08 07:46:00,93
2018-01-08 07:47:00,48
2018-01-08 07:48:00,62
2018-01-08 07:49:00,55
2018-01-08 07:50:00,68
2018-01-08 07:51:00,8
2018-01-08 07:52:00,8
2018-01-08 07:53:00,27
2018-01-08 07:54:00,53
2018-01-08 07:55:00,74
2018-01-08 07:56:00,38
2018-01-08 07:57:00,14
2018-01-08 07:58:00,12
2018-01-08 07:59:00,151
2018-01-08 08:00:00,254
